customer_id,customer_name,whatsapp_number,area,loyalty_points,customer_segment
116,Aarav Jain,9032537657,Nandanvan,154,Family Shopper
117,Kunal Maheshwari,9894319100,Trimurti Nagar,12,Regular
118,Ananya Sharma,9476921053,Itwari,48,Occasional
119,Neha Patil,9460401424,Wardha Road,52,Regular
120,Aarav Maheshwari,9201137984,Hingna,5,Premium
121,Kunal Patil,9231660076,Wardha Road,105,Family Shopper
122,Aarav Joshi,9014473404,Manish Nagar,60,Occasional
123,Aarav Kale,9096873045,Sitabuldi,153,Monthly Bulk Buyer
124,Pooja Maheshwari,9825588255,Nandanvan,44,Premium
125,Rahul Gangan,9754278656,Sitabuldi,154,Monthly Bulk Buyer
126,Arjun Gangan,9577820582,Trimurti Nagar,87,Premium
127,Aarohi Joshi,9236161880,Pratap Nagar,26,Premium
128,Aarav Jain,9823571558,Nandanvan,133,Occasional
129,Siddhi Joshi,9561372308,Sitabuldi,126,Family Shopper
130,Aditya Chandak,9436438130,Dharampeth,7,Monthly Bulk Buyer
131,Sai Agrawal,9211471656,Dharampeth,178,Premium
132,Isha Gangan,9653469979,Trimurti Nagar,10,Occasional
133,Vivaan Maheshwari,9550476816,Bajaj Nagar,150,Premium
134,Neha Kale,9706071748,Sitabuldi,21,Family Shopper
135,Sai Maheshwari,9653970548,Bajaj Nagar,115,Family Shopper
136,Krish Rathi,9102908718,Mahal,118,Monthly Bulk Buyer
137,Yash Rathi,9804918727,Hingna,41,Regular
138,Isha Joshi,9561213773,Dharampeth,99,Family Shopper
139,Rahul Sharma,9423597371,Sitabuldi,42,Family Shopper
140,Arjun Chandak,9990775608,Bajaj Nagar,94,Premium
141,Sai Rathi,9704686111,Hingna,170,Monthly Bulk Buyer
142,Kunal Rathi,9832102192,Itwari,50,Occasional
143,Om Gangan,9847129618,Dharampeth,59,Family Shopper
144,Arjun Jain,9260508018,Itwari,68,Premium
145,Sneha Sharma,9425373377,Wardha Road,54,Regular
146,Aarohi Rathi,9881228217,Pratap Nagar,18,Premium
147,Aarohi Agrawal,9653460605,Nandanvan,7,Family Shopper
148,Neha Rathi,9793279862,Manish Nagar,153,Premium
149,Isha Maheshwari,9169061812,Itwari,10,Monthly Bulk Buyer
150,Ananya Rathi,9475489547,Pratap Nagar,124,Occasional
