bill_id,bill_date,customer_id,customer_name,whatsapp_number,product_barcode,product_name,category,sub_category,quantity,unit_price,subtotal
9,2026-06-07 20:51:29,139,Rahul Sharma,9423597371,8906000000187,Nilon's Pickles Original 1kg,Cooking Essentials,Pickles,1,160.0,160.0
9,2026-06-07 20:51:29,139,Rahul Sharma,9423597371,8906000000127,Potato 1kg,Fruits & Vegetables,Fresh Vegetables,1,36.0,36.0
10,2026-03-13 21:41:29,57,Saanvi Agrawal,9509025425,8906000000400,Pantene Shampoo Regular 80ml,Hair Care,Shampoo,1,302.25,302.25
10,2026-03-13 21:41:29,57,Saanvi Agrawal,9509025425,8906000000371,Dove Conditioner Family Pack 80ml,Hair Care,Conditioner,2,243.0,486.0
10,2026-03-13 21:41:29,57,Saanvi Agrawal,9509025425,8906000000392,Parachute Hair Oil Value Pack 100ml,Hair Care,Hair Oil,1,293.91,293.91
10,2026-03-13 21:41:29,57,Saanvi Agrawal,9509025425,8906000000110,Bisleri Water Value Pack 1L,Frozen & Beverages,Water,2,22.5,45.0
10,2026-03-13 21:41:29,57,Saanvi Agrawal,9509025425,8906000000119,B Natural Juices Mini 1L,Frozen & Beverages,Juices,1,58.8,58.8
10,2026-03-13 21:41:29,57,Saanvi Agrawal,9509025425,8906000000052,Harpic Toilet Cleaner Original 1L,Laundry & Cleaning,Toilet Cleaner,2,95.4,190.8
10,2026-03-13 21:41:29,57,Saanvi Agrawal,9509025425,8906000000434,Pampers Baby Care Mini 200ml,Baby & Household,Baby Care,1,151.9,151.9
11,2026-02-23 07:12:29,70,Sai Patil,9100051553,8906000000223,Mother Dairy Milk Mini 500ml,Dairy & Bakery,Milk,1,59.85,59.85
11,2026-02-23 07:12:29,70,Sai Patil,9100051553,8906000000259,Harvest Gold Bread Fresh 400g,Dairy & Bakery,Bread,1,32.55,32.55
11,2026-02-23 07:12:29,70,Sai Patil,9100051553,8906000000047,Farm Fresh Eggs Lite 6pc,Dairy & Bakery,Eggs,1,47.5,47.5
11,2026-02-23 07:12:29,70,Sai Patil,9100051553,8906000000260,Saffola Salt Salt Fresh 1kg,Staples,Salt,1,48.0,48.0
11,2026-02-23 07:12:29,70,Sai Patil,9100051553,8906000000316,Harpic Toilet Cleaner Value Pack 1L,Laundry & Cleaning,Toilet Cleaner,2,121.25,242.5
11,2026-02-23 07:12:29,70,Sai Patil,9100051553,8906000000199,Tops Jam Value Pack 500g,Tea Coffee Breakfast,Jam,2,223.25,446.5
11,2026-02-23 07:12:29,70,Sai Patil,9100051553,8906000000430,Sunsilk Shampoo Classic 180ml,Hair Care,Shampoo,1,506.88,506.88
12,2026-02-26 02:03:29,54,Aarohi Chandak,9464844941,8906000000222,Kohinoor Rice Regular 1kg,Staples,Rice,3,778.5,2335.5
12,2026-02-26 02:03:29,54,Aarohi Chandak,9464844941,8906000000180,Local Mill Dal Value Pack 500g,Staples,Dal,1,186.56,186.56
12,2026-02-26 02:03:29,54,Aarohi Chandak,9464844941,8906000000291,MDH Masala Classic 200g,Cooking Essentials,Masala,2,227.85,455.7
12,2026-02-26 02:03:29,54,Aarohi Chandak,9464844941,8906000000450,Del Monte Pasta Original 500g,Instant Foods,Pasta,1,255.0,255.0
12,2026-02-26 02:03:29,54,Aarohi Chandak,9464844941,8906000000241,Del Monte Pasta Premium 500g,Instant Foods,Pasta,2,79.98,159.96
12,2026-02-26 02:03:29,54,Aarohi Chandak,9464844941,8906000000492,Prestige Kitchen Tools Mini 2pc,Baby & Household,Kitchen Tools,1,204.67,204.67
12,2026-02-26 02:03:29,54,Aarohi Chandak,9464844941,8906000000013,Aashirvaad Suji Original 1kg,Staples,Suji,1,110.67,110.67
12,2026-02-26 02:03:29,54,Aarohi Chandak,9464844941,8906000000352,Parle Small Snacks Family Pack 50g,Checkout Essentials,Small Snacks,1,152.52,152.52
13,2026-04-26 02:46:29,112,Yash Gangan,9826328094,8906000000074,Dabur Red Toothpaste Classic 150g,Oral Care,Toothpaste,1,144.0,144.0
13,2026-04-26 02:46:29,112,Yash Gangan,9826328094,8906000000081,Oral-B Toothbrush Value Pack 1pc,Oral Care,Toothbrush,1,93.1,93.1
13,2026-04-26 02:46:29,112,Yash Gangan,9826328094,8906000000377,Listerine Mouthwash Family Pack 250ml,Oral Care,Mouthwash,1,197.1,197.1
13,2026-04-26 02:46:29,112,Yash Gangan,9826328094,8906000000246,Medimix Soap Original 100g,Skin & Body Care,Soap,1,77.6,77.6
13,2026-04-26 02:46:29,112,Yash Gangan,9826328094,8906000000087,Pomegranate 1kg,Fruits & Vegetables,Fresh Fruits,1,80.75,80.75
14,2026-04-04 21:29:29,98,Yash Joshi,9337970581,8906000000168,Yippee Noodles Mini 140g,Instant Foods,Noodles,1,61.75,61.75
14,2026-04-04 21:29:29,98,Yash Joshi,9337970581,8906000000279,Del Monte Sauces Mini 1kg,Cooking Essentials,Sauces,3,61.6,184.8
14,2026-04-04 21:29:29,98,Yash Joshi,9337970581,8906000000474,Knorr Soup Lite 100g,Instant Foods,Soup,1,210.49,210.49
14,2026-04-04 21:29:29,98,Yash Joshi,9337970581,8906000000129,Godrej Yummiez Frozen Snacks Value Pack 1kg,Frozen & Beverages,Frozen Snacks,1,38.0,38.0
15,2026-02-18 00:07:29,72,Aarohi Deshmukh,9261896288,8906000000112,Gowardhan Milk Fresh 500ml,Dairy & Bakery,Milk,3,28.13,84.39
15,2026-02-18 00:07:29,72,Aarohi Deshmukh,9261896288,8906000000185,Britannia Bread Regular 700g,Dairy & Bakery,Bread,3,44.0,132.0
15,2026-02-18 00:07:29,72,Aarohi Deshmukh,9261896288,8906000000059,Farm Fresh Eggs Fresh 12pc,Dairy & Bakery,Eggs,2,48.4,96.8
15,2026-02-18 00:07:29,72,Aarohi Deshmukh,9261896288,8906000000027,Mother Dairy Curd Jumbo 1kg,Dairy & Bakery,Curd,1,158.4,158.4
15,2026-02-18 00:07:29,72,Aarohi Deshmukh,9261896288,8906000000294,Bisleri Water Mini 500ml,Frozen & Beverages,Water,1,19.0,19.0
15,2026-02-18 00:07:29,72,Aarohi Deshmukh,9261896288,8906000000336,Gowardhan Butter Premium 500g,Dairy & Bakery,Butter,1,61.6,61.6
15,2026-02-18 00:07:29,72,Aarohi Deshmukh,9261896288,8906000000401,Milton Kitchen Tools Regular 2pc,Baby & Household,Kitchen Tools,1,102.3,102.3
15,2026-02-18 00:07:29,72,Aarohi Deshmukh,9261896288,8906000000402,Kissan Jam Family Pack 200g,Tea Coffee Breakfast,Jam,1,240.24,240.24
16,2026-01-19 08:47:29,20,Pooja Joshi,9806603920,8906000000168,Yippee Noodles Mini 140g,Instant Foods,Noodles,1,61.75,61.75
16,2026-01-19 08:47:29,20,Pooja Joshi,9806603920,8906000000064,Kissan Sauces Mini 200g,Cooking Essentials,Sauces,1,106.82,106.82
16,2026-01-19 08:47:29,20,Pooja Joshi,9806603920,8906000000474,Knorr Soup Lite 100g,Instant Foods,Soup,2,210.49,420.98
16,2026-01-19 08:47:29,20,Pooja Joshi,9806603920,8906000000371,Dove Conditioner Family Pack 80ml,Hair Care,Conditioner,1,243.0,243.0
16,2026-01-19 08:47:29,20,Pooja Joshi,9806603920,8906000000092,Real Juices Value Pack 200ml,Frozen & Beverages,Juices,1,106.02,106.02
16,2026-01-19 08:47:29,20,Pooja Joshi,9806603920,8906000000079,Britannia Butter Fresh 100g,Dairy & Bakery,Butter,1,150.35,150.35
17,2026-05-10 21:06:29,129,Siddhi Joshi,9561372308,8906000000411,Wagh Bakri Tea Jumbo 1kg,Tea Coffee Breakfast,Tea,2,525.0,1050.0
17,2026-05-10 21:06:29,129,Siddhi Joshi,9561372308,8906000000170,Dhampur Sugar Value Pack 5kg,Staples,Sugar,1,167.2,167.2
17,2026-05-10 21:06:29,129,Siddhi Joshi,9561372308,8906000000323,Sunfeast Glucose Glucose Biscuits Original 250g,Biscuits & Snacks,Glucose Biscuits,1,22.8,22.8
17,2026-05-10 21:06:29,129,Siddhi Joshi,9561372308,8906000000442,Scotch-Brite Kitchen Tools Family Pack 2pc,Baby & Household,Kitchen Tools,1,238.14,238.14
17,2026-05-10 21:06:29,129,Siddhi Joshi,9561372308,8906000000312,Quaker Oats Jumbo 1kg,Tea Coffee Breakfast,Oats,1,44.0,44.0
18,2026-02-12 07:19:29,64,Vivaan Maheshwari,9683625366,8906000000194,Domex Toilet Cleaner Premium 500ml,Laundry & Cleaning,Toilet Cleaner,1,209.25,209.25
19,2026-05-17 09:12:29,118,Ananya Sharma,9476921053,8906000000282,Knorr Soup Fresh 45g,Instant Foods,Soup,3,126.1,378.3
19,2026-05-17 09:12:29,118,Ananya Sharma,9476921053,8906000000278,L'Oreal Conditioner Mini 175ml,Hair Care,Conditioner,1,130.2,130.2
19,2026-05-17 09:12:29,118,Ananya Sharma,9476921053,8906000000372,Continental Coffee Mini 200g,Tea Coffee Breakfast,Coffee,2,375.25,750.5
19,2026-05-17 09:12:29,118,Ananya Sharma,9476921053,8906000000207,Haldiram Ready To Eat Jumbo 500g,Instant Foods,Ready To Eat,1,181.35,181.35
20,2026-04-15 08:57:29,148,Neha Rathi,9793279862,8906000000135,Rin Detergent Fresh 1kg,Laundry & Cleaning,Detergent,1,532.4,532.4
20,2026-04-15 08:57:29,148,Neha Rathi,9793279862,8906000000288,Comfort Fabric Care Classic 1L,Laundry & Cleaning,Fabric Care,1,245.1,245.1
20,2026-04-15 08:57:29,148,Neha Rathi,9793279862,8906000000334,Mr Muscle Floor Cleaner Premium 500ml,Laundry & Cleaning,Floor Cleaner,1,137.2,137.2
20,2026-04-15 08:57:29,148,Neha Rathi,9793279862,8906000000413,Too Yumm Chips Family Pack 150g,Biscuits & Snacks,Chips,1,22.54,22.54
20,2026-04-15 08:57:29,148,Neha Rathi,9793279862,8906000000019,Tops Jam Lite 500g,Tea Coffee Breakfast,Jam,2,118.8,237.6
21,2026-04-08 01:04:29,98,Yash Joshi,9337970581,8906000000413,Too Yumm Chips Family Pack 150g,Biscuits & Snacks,Chips,1,22.54,22.54
21,2026-04-08 01:04:29,98,Yash Joshi,9337970581,8906000000075,Pepsi Soft Drinks Fresh 600ml,Frozen & Beverages,Soft Drinks,1,70.81,70.81
21,2026-04-08 01:04:29,98,Yash Joshi,9337970581,8906000000364,Bikaji Namkeen Value Pack 200g,Biscuits & Snacks,Namkeen,2,105.6,211.2
21,2026-04-08 01:04:29,98,Yash Joshi,9337970581,8906000000397,Weikfield Pasta Premium 500g,Instant Foods,Pasta,1,75.05,75.05
21,2026-04-08 01:04:29,98,Yash Joshi,9337970581,8906000000327,Pampers Baby Care Family Pack 100ml,Baby & Household,Baby Care,2,227.05,454.1
21,2026-04-08 01:04:29,98,Yash Joshi,9337970581,8906000000385,Dove Shampoo Lite 650ml,Hair Care,Shampoo,1,254.7,254.7
21,2026-04-08 01:04:29,98,Yash Joshi,9337970581,8906000000076,Apsara Stationery Mini 10pc,Baby & Household,Stationery,1,273.54,273.54
22,2026-03-07 04:06:29,113,Sneha Rathi,9239453546,8906000000433,Kurkure Chips Regular 52g,Biscuits & Snacks,Chips,1,19.53,19.53
22,2026-03-07 04:06:29,113,Sneha Rathi,9239453546,8906000000148,Pepsi Soft Drinks Lite 2L,Frozen & Beverages,Soft Drinks,3,30.0,90.0
22,2026-03-07 04:06:29,113,Sneha Rathi,9239453546,8906000000444,Chitale Namkeen Mini 1kg,Biscuits & Snacks,Namkeen,3,140.0,420.0
22,2026-03-07 04:06:29,113,Sneha Rathi,9239453546,8906000000213,Dabur Amla Hair Oil Original 500ml,Hair Care,Hair Oil,3,256.5,769.5
22,2026-03-07 04:06:29,113,Sneha Rathi,9239453546,8906000000492,Prestige Kitchen Tools Mini 2pc,Baby & Household,Kitchen Tools,1,204.67,204.67
23,2026-05-01 03:37:29,90,Neha Rathi,9775677722,8906000000040,Methi 1 bunch,Fruits & Vegetables,Leafy Vegetables,2,14.4,28.8
23,2026-05-01 03:37:29,90,Neha Rathi,9775677722,8906000000307,Maggi Pasta Original 500g,Instant Foods,Pasta,1,125.0,125.0
23,2026-05-01 03:37:29,90,Neha Rathi,9775677722,8906000000151,India Gate Rice Premium 10kg,Staples,Rice,1,347.82,347.82
23,2026-05-01 03:37:29,90,Neha Rathi,9775677722,8906000000182,Gowardhan Ghee Mini 500ml,Cooking Essentials,Ghee,4,448.8,1795.2
24,2026-04-02 01:53:29,18,Ananya Patil,9789969860,8906000000117,Dinshaw's Milk Original 1L,Dairy & Bakery,Milk,1,38.72,38.72
24,2026-04-02 01:53:29,18,Ananya Patil,9789969860,8906000000133,Britannia Bread Regular 400g,Dairy & Bakery,Bread,1,64.02,64.02
24,2026-04-02 01:53:29,18,Ananya Patil,9789969860,8906000000059,Farm Fresh Eggs Fresh 12pc,Dairy & Bakery,Eggs,1,48.4,48.4
24,2026-04-02 01:53:29,18,Ananya Patil,9789969860,8906000000382,Ponds Face Wash Fresh 150g,Skin & Body Care,Face Wash,2,180.5,361.0
24,2026-04-02 01:53:29,18,Ananya Patil,9789969860,8906000000365,Act II Popcorn Mini 30g,Biscuits & Snacks,Popcorn,1,80.75,80.75
25,2026-03-28 09:20:29,104,Pooja Jain,9397429250,8906000000461,Fortune Atta Regular 1kg,Staples,Atta,1,101.2,101.2
25,2026-03-28 09:20:29,104,Pooja Jain,9397429250,8906000000182,Gowardhan Ghee Mini 500ml,Cooking Essentials,Ghee,1,448.8,448.8
25,2026-03-28 09:20:29,104,Pooja Jain,9397429250,8906000000262,Pachranga Pickles Regular 1kg,Cooking Essentials,Pickles,1,63.05,63.05
25,2026-03-28 09:20:29,104,Pooja Jain,9397429250,8906000000411,Wagh Bakri Tea Jumbo 1kg,Tea Coffee Breakfast,Tea,1,525.0,525.0
26,2026-06-21 09:16:29,10,Vivaan Rathi,9468677524,8906000000260,Saffola Salt Salt Fresh 1kg,Staples,Salt,2,48.0,96.0
26,2026-06-21 09:16:29,10,Vivaan Rathi,9468677524,8906000000035,Fortune Dal Fresh 1kg,Staples,Dal,1,130.15,130.15
26,2026-06-21 09:16:29,10,Vivaan Rathi,9468677524,8906000000496,Wagh Bakri Tea Lite 250g,Tea Coffee Breakfast,Tea,2,190.65,381.3
26,2026-06-21 09:16:29,10,Vivaan Rathi,9468677524,8906000000079,Britannia Butter Fresh 100g,Dairy & Bakery,Butter,2,150.35,300.7
26,2026-06-21 09:16:29,10,Vivaan Rathi,9468677524,8906000000478,Britannia Tiger Glucose Biscuits Regular 80g,Biscuits & Snacks,Glucose Biscuits,2,10.45,20.9
27,2026-02-20 22:20:29,37,Rohan Rathi,9725214526,8906000000138,Surf Excel Detergent Regular 2kg,Laundry & Cleaning,Detergent,1,535.5,535.5
27,2026-02-20 22:20:29,37,Rohan Rathi,9725214526,8906000000053,Comfort Fabric Care Lite 1L,Laundry & Cleaning,Fabric Care,1,210.6,210.6
27,2026-02-20 22:20:29,37,Rohan Rathi,9725214526,8906000000306,Lizol Floor Cleaner Mini 2L,Laundry & Cleaning,Floor Cleaner,1,236.0,236.0
27,2026-02-20 22:20:29,37,Rohan Rathi,9725214526,8906000000007,Amul Paneer Lite 200g,Dairy & Bakery,Paneer,2,68.6,137.2
27,2026-02-20 22:20:29,37,Rohan Rathi,9725214526,8906000000489,Ponds Talcum Powder Mini 300g,Skin & Body Care,Talcum Powder,1,55.44,55.44
27,2026-02-20 22:20:29,37,Rohan Rathi,9725214526,8906000000069,Duracell Batteries Original 4pc,Checkout Essentials,Batteries,1,35.0,35.0
28,2026-01-01 21:51:29,54,Aarohi Chandak,9464844941,8906000000373,Local Mill Poha Jumbo 1kg,Staples,Poha,1,58.5,58.5
28,2026-01-01 21:51:29,54,Aarohi Chandak,9464844941,8906000000248,Watermelon 1kg,Fruits & Vegetables,Fresh Fruits,1,169.26,169.26
28,2026-01-01 21:51:29,54,Aarohi Chandak,9464844941,8906000000403,Madhur Sugar Lite 5kg,Staples,Sugar,4,195.3,781.2
29,2026-01-30 22:23:29,127,Aarohi Joshi,9236161880,8906000000308,Colgate Toothpaste Jumbo 80g,Oral Care,Toothpaste,1,101.92,101.92
29,2026-01-30 22:23:29,127,Aarohi Joshi,9236161880,8906000000277,Colgate Toothbrush Lite 1pc,Oral Care,Toothbrush,3,70.2,210.6
29,2026-01-30 22:23:29,127,Aarohi Joshi,9236161880,8906000000377,Listerine Mouthwash Family Pack 250ml,Oral Care,Mouthwash,2,197.1,394.2
29,2026-01-30 22:23:29,127,Aarohi Joshi,9236161880,8906000000490,Gits Instant Mix Lite 500g,Cooking Essentials,Instant Mix,1,250.8,250.8
29,2026-01-30 22:23:29,127,Aarohi Joshi,9236161880,8906000000133,Britannia Bread Regular 400g,Dairy & Bakery,Bread,2,64.02,128.04
29,2026-01-30 22:23:29,127,Aarohi Joshi,9236161880,8906000000296,Nescafe Coffee Fresh 50g,Tea Coffee Breakfast,Coffee,1,159.3,159.3
30,2026-06-25 01:32:29,134,Neha Kale,9706071748,8906000000151,India Gate Rice Premium 10kg,Staples,Rice,1,347.82,347.82
30,2026-06-25 01:32:29,134,Neha Kale,9706071748,8906000000006,Tata Sampann Dal Regular 2kg,Staples,Dal,4,225.4,901.6
30,2026-06-25 01:32:29,134,Neha Kale,9706071748,8906000000291,MDH Masala Classic 200g,Cooking Essentials,Masala,5,227.85,1139.25
30,2026-06-25 01:32:29,134,Neha Kale,9706071748,8906000000140,Aashirvaad Salt Salt Regular 1kg,Staples,Salt,1,260.93,260.93
30,2026-06-25 01:32:29,134,Neha Kale,9706071748,8906000000169,Whisper Sanitary Care Lite 7pc,Baby & Household,Sanitary Care,1,151.9,151.9
30,2026-06-25 01:32:29,134,Neha Kale,9706071748,8906000000482,Tata Sampann Dal Original 500g,Staples,Dal,2,177.51,355.02
30,2026-06-25 01:32:29,134,Neha Kale,9706071748,8906000000261,Catch Masala Family Pack 200g,Cooking Essentials,Masala,1,54.0,54.0
31,2026-02-28 08:55:29,143,Om Gangan,9847129618,8906000000238,Local Mill Poha Family Pack 500g,Staples,Poha,1,178.6,178.6
31,2026-02-28 08:55:29,143,Om Gangan,9847129618,8906000000464,24 Mantra Dal Jumbo 1kg,Staples,Dal,1,114.4,114.4
32,2026-04-04 03:28:29,130,Aditya Chandak,9436438130,8906000000461,Fortune Atta Regular 1kg,Staples,Atta,1,101.2,101.2
32,2026-04-04 03:28:29,130,Aditya Chandak,9436438130,8906000000182,Gowardhan Ghee Mini 500ml,Cooking Essentials,Ghee,3,448.8,1346.4
32,2026-04-04 03:28:29,130,Aditya Chandak,9436438130,8906000000187,Nilon's Pickles Original 1kg,Cooking Essentials,Pickles,1,160.0,160.0
32,2026-04-04 03:28:29,130,Aditya Chandak,9436438130,8906000000084,Colgate Toothbrush Fresh 1pc,Oral Care,Toothbrush,1,79.2,79.2
32,2026-04-04 03:28:29,130,Aditya Chandak,9436438130,8906000000320,Gowardhan Butter Mini 100g,Dairy & Bakery,Butter,3,242.0,726.0
33,2026-04-21 23:07:29,104,Pooja Jain,9397429250,8906000000341,Wagh Bakri Tea Mini 500g,Tea Coffee Breakfast,Tea,5,235.84,1179.2
33,2026-04-21 23:07:29,104,Pooja Jain,9397429250,8906000000292,Dhampur Sugar Fresh 1kg,Staples,Sugar,3,53.35,160.05
33,2026-04-21 23:07:29,104,Pooja Jain,9397429250,8906000000146,Britannia Tiger Glucose Biscuits Premium 250g,Biscuits & Snacks,Glucose Biscuits,1,32.3,32.3
33,2026-04-21 23:07:29,104,Pooja Jain,9397429250,8906000000121,Ezee Fabric Care Family Pack 1L,Laundry & Cleaning,Fabric Care,1,37.84,37.84
33,2026-04-21 23:07:29,104,Pooja Jain,9397429250,8906000000250,Priya Pickles Mini 500g,Cooking Essentials,Pickles,1,262.8,262.8
33,2026-04-21 23:07:29,104,Pooja Jain,9397429250,8906000000451,Dhampur Sugar Family Pack 1kg,Staples,Sugar,1,123.2,123.2
34,2026-03-28 23:19:29,43,Riya Maheshwari,9867181535,8906000000096,Tide Detergent Lite 2kg,Laundry & Cleaning,Detergent,2,159.6,319.2
34,2026-03-28 23:19:29,43,Riya Maheshwari,9867181535,8906000000053,Comfort Fabric Care Lite 1L,Laundry & Cleaning,Fabric Care,1,210.6,210.6
34,2026-03-28 23:19:29,43,Riya Maheshwari,9867181535,8906000000306,Lizol Floor Cleaner Mini 2L,Laundry & Cleaning,Floor Cleaner,1,236.0,236.0
34,2026-03-28 23:19:29,43,Riya Maheshwari,9867181535,8906000000408,Aquafina Water Family Pack 2L,Frozen & Beverages,Water,3,19.6,58.8
35,2026-01-14 21:11:29,39,Vivaan Verma,9051208005,8906000000303,Knorr Noodles Regular 140g,Instant Foods,Noodles,1,55.0,55.0
35,2026-01-14 21:11:29,39,Vivaan Verma,9051208005,8906000000064,Kissan Sauces Mini 200g,Cooking Essentials,Sauces,1,106.82,106.82
35,2026-01-14 21:11:29,39,Vivaan Verma,9051208005,8906000000337,Maggi Soup Fresh 100g,Instant Foods,Soup,1,180.0,180.0
35,2026-01-14 21:11:29,39,Vivaan Verma,9051208005,8906000000045,Ching's Sauces Fresh 500g,Cooking Essentials,Sauces,4,176.7,706.8
35,2026-01-14 21:11:29,39,Vivaan Verma,9051208005,8906000000021,Maggi Soup Original 100g,Instant Foods,Soup,2,28.5,57.0
35,2026-01-14 21:11:29,39,Vivaan Verma,9051208005,8906000000085,Balaji Small Snacks Family Pack 50g,Checkout Essentials,Small Snacks,2,53.9,107.8
